1220	8
1229	8
1230	8
1231	8
1232	8
1233	8
1234	8
1235	8
1236	8
1237	24
1238	32
1239	8
1240	8
1241	16
1242	8
1243	8
1244	16
1245	32
1246	24
1247	16
1248	32
1249	16
1250	8
1251	16
1252	24
1253	24
1254	48
1255	56
1256	32
1257	16
1258	24
1259	24
1260	8
1261	32
1262	32
1263	48
1264	32
1265	48
1266	24
1267	56
1268	24
1269	24
1270	24
1271	64
1272	24
1273	24
1274	32
1275	32
1276	24
1277	16
1278	8
1279	8
1280	32
1281	32
1282	40
1283	24
1284	32
1285	32
1286	56
1287	32
1288	40
1289	24
1290	72
1291	64
1292	24
1293	24
1294	56
1295	40
1296	40
1297	40
1298	48
1299	64
1300	80
1301	40
1302	40
1303	40
1304	56
1305	24
1306	32
1307	24
1308	40
1309	16
1310	16
1311	56
1312	16
1313	32
1314	48
1315	32
1316	56
1317	40
1318	16
1319	48
1320	16
1321	32
1322	40
1323	32
1324	24
1325	24
1326	32
1327	16
1328	40
1329	56
1330	16
1331	40
1332	48
1333	24
1334	24
1335	32
1336	32
1337	48
1338	32
1339	32
1340	24
1341	40
1342	16
1343	32
1344	8
1345	8
1346	8
1347	16
1348	24
1349	40
1350	16
1351	16
1352	8
1353	24
1354	24
1355	16
1356	8
1357	8
1358	8
1360	8
1362	8
1363	8
1364	16
1365	8
1366	16
1367	8
1368	8
1369	40
1370	8
1371	16
1372	32
1375	16
1377	24
1379	16
1380	8
1381	16
1383	24
1384	16
1385	16
1386	16
1387	24
1388	8
1391	16
1392	16
1394	16
1395	16
1396	32
1397	8
1398	16
1399	32
1400	8
1402	16
1403	16
1404	8
1405	16
1407	8
1408	8
1412	8
1414	8
1421	8
1422	8
1423	8
1424	24
1427	16
1429	16
1430	8
1431	16
1432	16
1435	8
1436	8
1437	8
1442	8
1457	8
1460	8
1466	16
1469	8
1472	16
1473	8
1477	8
1479	8
1484	8
1487	8
1491	8
1501	8
1528	8
1547	144
1559	136
1563	136
1572	272
1574	136
1576	136
1577	136
1579	136
1580	272
1581	272
1583	272
1584	272
1587	136
1588	136
1589	272
1592	272
1594	544
1596	136
1597	272
1600	136
1601	136
1603	272
1604	272
1607	136
1612	272
1613	136
1614	136
1616	136
1621	272
1625	272
1626	136
1627	136
1628	136
1629	136
1630	136
1632	408
1636	272
1637	272
1638	136
1639	272
1640	136
1641	136
1642	272
1643	136
1644	408
1646	272
1647	136
1649	272
1650	136
1651	272
1652	136
1653	272
1654	136
1655	136
1657	136
1659	136
1660	408
1662	272
1664	136
1665	272
1666	136
1667	136
1668	136
1669	136
1672	272
1673	136
1674	272
1675	136
1678	272
1680	272
1681	136
1682	408
1684	136
1685	408
1686	136
1689	136
1690	136
1692	136
1694	272
1695	136
1699	136
1701	408
1703	136
1705	136
1706	272
1707	272
1710	272
1713	136
1717	272
1718	136
1720	272
1726	136
1728	136
1784	136
1787	272
1788	136
1789	136
1790	136
1791	272
1792	136
1793	272
1794	136
1795	136
1796	136
1797	136
1799	136
1802	136
1803	272
1806	136
1807	408
1808	136
1810	272
1812	136
1814	408
1816	272
1817	272
1819	136
1820	272
1822	136
1823	272
1824	272
1825	272
1828	136
1831	272
1832	272
1833	136
1834	272
1835	272
1836	272
1837	136
1838	408
1839	272
1844	408
1846	136
1847	816
1849	272
1850	136
1851	408
1852	136
1853	408
1854	136
1855	272
