1175	8
1176	8
1177	8
1180	8
1181	8
1182	8
1183	8
1184	8
1185	16
1186	16
1187	24
1188	24
1189	24
1190	24
1191	8
1192	24
1193	16
1194	8
1195	24
1196	32
1197	24
1198	32
1199	40
1200	56
1201	24
1202	32
1203	72
1204	16
1205	48
1206	16
1207	24
1208	24
1209	40
1210	48
1211	16
1212	64
1213	80
1214	56
1215	24
1216	32
1217	40
1218	56
1219	16
1220	16
1221	8
1222	40
1223	40
1224	56
1225	64
1226	48
1227	32
1228	32
1229	16
1230	40
1231	40
1232	40
1233	48
1234	40
1235	64
1236	56
1237	40
1238	72
1239	80
1240	32
1241	64
1242	56
1243	24
1244	48
1245	40
1246	40
1247	8
1248	48
1249	56
1250	40
1251	16
1252	16
1253	32
1254	48
1255	56
1256	40
1257	24
1258	16
1259	56
1260	16
1261	40
1262	32
1263	40
1264	8
1265	32
1266	16
1267	48
1268	8
1269	16
1270	32
1271	32
1272	16
1273	16
1274	16
1275	32
1276	32
1277	8
1278	8
1279	24
1280	16
1281	16
1282	16
1283	16
1284	8
1285	16
1286	24
1287	24
1288	24
1290	16
1291	8
1292	16
1293	16
1294	8
1295	8
1296	8
1297	8
1298	8
1299	8
1300	8
1301	8
1302	8
1303	16
1304	24
1307	32
1308	8
1311	8
1312	8
1313	8
1314	8
1315	16
1316	8
1318	8
1319	32
1320	8
1321	16
1322	8
1323	8
1325	24
1326	8
1327	8
1330	8
1331	8
1332	16
1334	8
1335	8
1338	8
1339	8
1340	8
1341	8
1344	8
1347	8
1348	8
1349	8
1351	24
1352	8
1354	8
1355	8
1357	8
1361	8
1362	8
1363	8
1373	8
1374	16
1376	8
1378	8
1380	8
1391	8
1416	8
1448	8
1500	136
1502	136
1504	136
1505	272
1507	136
1509	136
1510	136
1511	408
1512	136
1513	136
1514	136
1515	408
1516	136
1517	136
1518	408
1519	544
1520	272
1521	136
1522	680
1523	408
1524	272
1526	408
1527	272
1528	272
1529	136
1530	408
1531	272
1532	136
1533	272
1534	408
1535	816
1536	408
1537	408
1538	408
1539	272
1540	408
1541	408
1542	680
1543	136
1544	272
1545	408
1546	1088
1547	272
1548	408
1549	272
1550	408
1551	272
1552	408
1553	136
1554	408
1555	544
1556	408
1557	272
1558	408
1559	544
1560	408
1561	136
1562	544
1563	272
1564	272
1565	272
1566	544
1567	544
1568	408
1569	408
1570	408
1572	544
1573	544
1574	680
1575	408
1577	272
1578	544
1579	136
1580	544
1581	544
1582	544
1583	408
1584	136
1585	136
1586	544
1587	272
1588	272
1589	272
1590	408
1591	408
1592	136
1594	136
1595	272
1596	544
1597	544
1598	544
1599	544
1600	272
1601	272
1602	408
1603	272
1604	408
1606	136
1607	408
1608	680
1609	680
1610	136
1611	136
1612	680
1613	136
1614	272
1615	136
1617	272
1618	136
1619	408
1621	272
1622	544
1623	272
1624	680
1625	136
1626	408
1627	408
1628	272
1629	136
1630	408
1631	408
